Country	Latitude	Longitude	Culture_Hint
France	46.2276	2.2137	Famous for the Eiffel Tower, fine wine, cheese, and fashion.
Gabon	-0.8037	11.6094	Known for Loango National Park, where elephants can be seen on the beach.
Gambia	13.4432	-15.3101	A small country surrounding the Gambia River, known for diverse birdlife.
Georgia	42.3154	43.3569	The ancient birthplace of wine-making in the Caucasus Mountains.
Germany	51.1657	10.4515	Famous for Oktoberfest, precision engineering, and the Berlin Wall.
Ghana	7.9465	-1.0232	Known for its Kente cloth and being the first sub-Saharan nation to gain independence.
Greece	39.0742	21.8243	The cradle of Western civilization and famous for its ancient islands and ruins.
Grenada	12.1165	-61.679	Known as the 'Spice Isle' for its production of nutmeg and mace.
Guatemala	15.7835	-90.2308	Home to the ancient Mayan city of Tikal and vibrant colorful markets.
Guinea	9.9456	-9.6966	Known for its rich musical heritage and the Nimba mountains.
Guinea-Bissau	11.8037	-15.1804	Famous for the Bijagós Islands and the annual Carnival in Bissau.
Guyana	4.8604	-58.9302	Home to Kaieteur Falls, one of the world's most powerful waterfalls.
Haiti	18.9712	-72.2852	The first independent black-led republic, famous for its Citadelle Laferrière.
Honduras	15.1999	-86.2419	Home to the Mayan ruins of Copán and great diving in the Bay Islands.
Hungary	47.1625	19.5033	Famous for its thermal baths in Budapest and Goulash soup.
Iceland	64.9631	-19.0208	The 'Land of Fire and Ice,' known for volcanoes, glaciers, and hot springs.
India	20.5937	78.9629	Known for the Taj Mahal, Bollywood, and its incredible spiritual and culinary diversity.
Indonesia	-0.7893	113.9213	An archipelago known for Bali, Komodo dragons, and over 17,000 islands.
Iran	32.4279	53.688	Home to ancient Persia, the ruins of Persepolis, and intricate Persian carpets.
Iraq	33.2232	43.6793	The site of ancient Mesopotamia, the 'Cradle of Civilization.'
Ireland	53.4129	-8.2439	The 'Emerald Isle,' famous for folklore, Guinness, and St. Patrick.
Israel	31.0461	34.8516	A center for major world religions, home to the Dead Sea and Jerusalem.
Italy	41.8719	12.5674	Famous for the Colosseum, pizza, pasta, and the Renaissance.
Jamaica	18.1096	-77.2975	The birthplace of Reggae music and Bob Marley.
Japan	36.2048	138.2529	Known for Sushi, Samurai, Anime, and the cherry blossom season.
Jordan	30.5852	36.2384	Home to the ancient rock-cut city of Petra and the Wadi Rum desert.
Kazakhstan	48.0196	66.9237	The world's largest landlocked country, home to the Baikonur Cosmodrome.
Kenya	-0.0236	37.9062	Famous for the Maasai Mara wildlife reserve and world-class runners.
Kiribati	-3.3704	-168.734	A Pacific island nation that is the first to see the sunrise each day.
Kuwait	29.3117	47.4818	Known for its modern architecture like the Kuwait Towers.
Kyrgyzstan	41.2044	74.7661	A mountainous country famous for the epic Poem of Manas and nomadic yurt life.
Laos	19.8563	102.4955	Known as the 'Land of a Million Elephants' and for the town of Luang Prabang.
Latvia	56.8796	24.6032	Famous for its Art Nouveau architecture in Riga and the midsummer festival Jāņi.
Lebanon	33.8547	35.8623	Famous for its ancient cedar trees and delicious Levantine cuisine.
Lesotho	-29.61	28.2336	A high-altitude kingdom entirely surrounded by South Africa.
Liberia	6.4281	-9.4295	Founded by freed American slaves; its flag closely resembles the US flag.
Libya	26.3351	17.2283	Home to the well-preserved Roman ruins of Leptis Magna.
Liechtenstein	47.166	9.5554	A tiny, wealthy Alpine principality tucked between Switzerland and Austria.
Lithuania	55.1694	23.8813	Known for the Hill of Crosses and its medieval Trakai Island Castle.
Luxembourg	49.8153	6.1296	A tiny nation known as a global financial hub and for its fortified old city.
Madagascar	-18.7669	46.8691	Famous for its unique biodiversity, including lemurs and baobab trees.
Malawi	-13.2543	34.3015	Known as the 'Warm Heart of Africa' and for Lake Malawi.
Malaysia	4.2105	101.9758	Famous for the Petronas Twin Towers and a mix of Malay, Chinese, and Indian cultures.
Maldives	3.2028	73.2207	A tropical paradise of atolls famous for luxury overwater bungalows.
Mali	17.5707	-3.9962	Home to the legendary city of Timbuktu and the Great Mosque of Djenné.
Malta	35.9375	14.3754	An island nation with prehistoric temples and the historic city of Valletta.
Marshall Islands	7.1315	171.1845	Known for the Bikini Atoll, a site of mid-20th century nuclear testing.
Mauritania	21.0079	-10.9408	Home to the Chinguetti mosques and the longest iron ore train in the world.
Mauritius	-20.3484	57.5522	An island nation famous as the only known home of the now-extinct dodo bird.
Mexico	23.6345	-102.5528	Famous for tacos, Day of the Dead, and ancient Aztec/Mayan pyramids.
Micronesia	7.4256	150.5508	Known for the ancient stone city of Nan Madol.
Moldova	47.4116	28.3699	Famous for its massive underground wine cellars, like Mileștii Mici.
Monaco	43.7384	7.4246	A tiny principality famous for the Monte Carlo Casino and Formula One racing.
Mongolia	46.8625	103.8467	Known for the Gobi Desert and the legacy of Genghis Khan.
Montenegro	42.7087	19.3744	Known for the stunning Bay of Kotor and its rugged mountains.
Morocco	31.7917	-7.0926	Famous for its vibrant souks, tagine, and the 'Blue City' of Chefchaouen.
Mozambique	-18.6657	35.5296	Known for its beautiful coastline and Portuguese-influenced seafood.
Myanmar	21.9162	95.956	Home to the thousands of ancient pagodas in the city of Bagan.
Namibia	-22.9576	18.4904	Known for the towering red sand dunes of the Namib Desert.
Nauru	-0.5228	166.9315	The world's smallest island nation, once wealthy from phosphate mining.
Nepal	28.3949	84.124	Home to Mount Everest and the birthplace of Gautama Buddha.
Netherlands	52.1326	5.2913	Famous for windmills, tulips, canals, and bicycles.
New Zealand	-40.9006	174.886	Known for its stunning scenery (Lord of the Rings) and Maori culture.
Nicaragua	12.8654	-85.2072	Known as the 'Land of Lakes and Volcanoes.'
Niger	17.6078	8.0817	Home to the Agadez Mosque and the Tuareg 'blue people' of the Sahara.
Nigeria	9.082	8.6753	Africa's most populous nation, famous for Nollywood and Afrobeat music.
North Korea	40.3399	127.5101	A highly reclusive nation known for its Mass Games and Juche ideology.
North Macedonia	41.6086	21.7453	The birthplace of Mother Teresa and home to Lake Ohrid.
Norway	60.472	8.4689	Famous for its spectacular fjords, Vikings, and the Northern Lights.
Oman	21.4735	55.9754	Known for its traditional dhow ships and the incense-rich Dhofar region.
Pakistan	30.3753	69.3451	Home to K2, the second-highest mountain, and ancient Indus Valley ruins.
Palau	7.515	134.5825	Famous for Jellyfish Lake, where millions of stingless jellyfish live.
Panama	8.538	-80.7821	Famous for the Panama Canal, connecting the Atlantic and Pacific oceans.
Papua New Guinea	-6.315	143.9555	One of the most culturally diverse countries, with over 800 languages spoken.
Paraguay	-23.4425	-58.4438	A landlocked nation where the indigenous Guarani language is widely spoken.
Peru	-9.19	-75.0152	Home to the ancient Inca citadel of Machu Picchu and delicious Ceviche.
Philippines	12.8797	121.774	Famous for its 7,000+ islands, Jeepneys, and the Chocolate Hills.
Poland	51.9194	19.1451	Known for its resilient history, pierogi, and the historic city of Krakow.
Portugal	39.3999	-8.2245	Famous for Fado music, port wine, and explorers like Vasco da Gama.
Qatar	25.3548	51.1839	A wealthy peninsula known for the futuristic skyline of Doha.
Romania	45.9432	24.9668	Famous for the Transylvania region and the legend of Dracula.
Russia	61.524	105.3188	The largest country in the world, famous for Red Square and Ballet.
Rwanda	-1.9403	29.8739	Known as the 'Land of a Thousand Hills' and for its mountain gorillas.
Saint Kitts and Nevis	17.3578	-62.783	Known for Brimstone Hill Fortress and its colonial sugar plantations.
Saint Lucia	13.9094	-60.9789	Famous for the iconic Pitons, two volcanic spires rising from the sea.
Saint Vincent and the Grenadines	12.9843	-61.2872	A lush island chain famous for sailing and the location of 'Pirates of the Caribbean' filming.
Samoa	-13.759	-172.1046	Known for the 'Fa'a Samoa' (The Samoan Way) tradition and Tatau (tattoos).
San Marino	43.9424	12.4578	Claims to be the world's oldest republic, located within Italy.
Sao Tome and Principe	0.1864	6.6131	An island nation once known as the 'Chocolate Islands' for cocoa production.
Saudi Arabia	23.8859	45.0792	Home to Mecca and Medina, the holiest sites in Islam.
Senegal	14.4974	-14.4524	Famous for its Teranga (hospitality) and the Goree Island slave house.
Serbia	44.0165	21.0059	Known for the exit festival and the legacy of inventor Nikola Tesla.
Seychelles	-4.6796	55.492	An archipelago famous for unique Coco de Mer palms and pristine beaches.
Sierra Leone	8.4606	-11.7799	Famous for its diamond mines and the historic Cotton Tree in Freetown.
Singapore	1.3521	103.8198	A modern city-state known for its cleanliness and the Merlion statue.
Slovakia	48.669	19.699	Known for having the highest number of castles per capita in the world.
Slovenia	46.1512	14.9955	Famous for the picturesque Lake Bled and its subterranean caves.
Solomon Islands	-9.6457	160.1562	Known for WWII shipwrecks and traditional shell money.
Somalia	5.1521	46.1996	Known as the 'Nation of Poets' with a very long coastline.
South Africa	-30.5595	22.9375	The 'Rainbow Nation,' famous for Nelson Mandela and Kruger National Park.
South Korea	35.9078	127.7669	Famous for K-Pop, high-tech cities, and Kimchi.
South Sudan	6.877	31.307	The world's youngest country, having gained independence in 2011.
Spain	40.4637	-3.7492	Famous for Flamenco, Paella, Siestas, and the architecture of Gaudí.
Sri Lanka	7.8731	80.7718	Known as the 'Teardrop of India,' famous for tea and ancient temples.
Sudan	12.8628	30.2176	Home to more ancient pyramids than Egypt, in the Meroë region.
Suriname	3.9193	-56.0278	The smallest country in South America, known for its Dutch-Creole culture.
Sweden	60.1282	18.6435	Home to ABBA, IKEA, and the Nobel Prize.
Switzerland	46.8182	8.2275	Famous for the Alps, luxury watches, and neutrality.
Syria	34.8021	38.9968	Home to Damascus, one of the oldest continuously inhabited cities.
Taiwan	23.6978	120.9605	Known for its night markets, Taipei 101, and high-tech industry.
Tajikistan	38.861	71.2761	A mountainous country famous for the Pamir Highway.
Tanzania	-6.369	34.8888	Home to Mount Kilimanjaro, the Serengeti, and Zanzibar island.
Thailand	15.87	100.9925	Known as the 'Land of Smiles,' famous for Pad Thai and ornate temples.
Timor-Leste	-8.8742	125.7275	A young nation with a mix of Southeast Asian and Portuguese culture.
Togo	8.6195	0.8248	Known for its Akodessewa Fetish Market, the largest voodoo market in the world.
Tonga	-21.179	-175.1982	Known as the 'Friendly Islands' and for its whale watching.
Trinidad and Tobago	10.6918	-61.2225	The birthplace of Steelpan music, Limbo, and Calypso.
Tunisia	33.8869	9.5375	Home to the ancient city of Carthage and Star Wars filming locations.
Turkey	38.9637	35.2433	Where East meets West; famous for the Hagia Sophia and Turkish delight.
Turkmenistan	38.9697	59.5563	Famous for the 'Door to Hell,' a continuously burning gas crater.
Tuvalu	-7.1095	177.6493	One of the world's smallest and lowest-lying nations, at risk from sea-level rise.
Uganda	1.3733	32.2903	Known as the 'Pearl of Africa' and home to the source of the Nile.
Ukraine	48.3794	31.1656	Known for its vast sunflower fields and the historic city of Kyiv.
United Arab Emirates	23.4241	53.8478	Home to the Burj Khalifa, the tallest building in the world, in Dubai.
United Kingdom	55.3781	-3.436	Home of the Beatles, Shakespeare, and the Royal Family.
United States	37.0902	-95.7129	A cultural superpower known for Hollywood, Jazz, and the Statue of Liberty.
Uruguay	-32.5228	-55.7658	Known for its socially progressive laws and being a major beef exporter.
Uzbekistan	41.3775	64.5853	A key stop on the ancient Silk Road, famous for the city of Samarkand.
Vanuatu	-15.3767	166.9592	Famous for the tradition of land diving (Nagol), the precursor to bungee jumping.
Vatican City	41.9029	12.4534	The world's smallest country and the spiritual center of Roman Catholicism.
Venezuela	6.4238	-66.5897	Home to Angel Falls, the world's highest uninterrupted waterfall.
Vietnam	14.0583	108.2772	Famous for Halong Bay, Pho, and its resilient history.
Yemen	15.5527	48.5164	Home to the 'Manhattan of the Desert,' the mud-brick skyscrapers of Shibam.
Zambia	-13.1339	27.8493	Famous for Victoria Falls, which it shares with Zimbabwe.
Zimbabwe	-19.0154	29.1549	Home to the Great Zimbabwe ruins and diverse wildlife.
